model iord timeinclumps nclumps
P0 88551 0.68 1
P0 88554 0.68 1
P0 88556 0.61 1
P0 88635 1.33 2
P0 88648 1.74 1
P0 88654 1.33 2
P0 88737 0.45 1
P0 88745 1.29 1
P0 88916 1.74 1
P0 88924 2.58 1
P0 88941 1.72 2
P0 88942 2.58 1
P0 88947 2.58 1
P0 88959 0.84 1
P0 88967 1.74 1
P0 88973 2.17 2
P0 88980 0.84 1
P0 88984 0.84 1
P0 88985 0.84 1
P0 88991 1.74 1
P0 89157 0.42 1
P0 89159 1.29 1
P0 89165 1.74 1
P0 89171 2.58 1
P0 89174 1.26 2
P0 89176 1.29 1
P0 89185 1.29 1
P0 89186 2.58 1
P0 89191 1.74 1
P0 89193 1.74 1
P0 89195 3.00 1
P0 89197 0.84 1
P0 89201 2.58 1
P0 89203 2.17 2
P0 89207 1.29 1
P0 89338 1.74 1
P0 89353 0.45 1
P0 89354 0.84 1
P0 89355 2.13 2
P0 89356 2.62 2
P0 89357 0.45 1
P0 89359 1.29 1
P0 89360 1.29 1
P0 89362 2.58 1
P0 89363 2.17 2
P0 89364 2.58 1
P0 89365 2.58 1
P0 89367 0.45 1
P0 89370 2.58 1
P0 89375 1.29 1
P0 89380 2.58 1
P0 89388 2.58 1
P0 89395 0.45 1
P0 89397 1.29 1
P0 89398 1.29 1
P0 89400 0.45 1
P0 89401 1.74 1
P0 89402 1.29 1
P0 89404 1.29 1
P0 89406 2.58 1
P0 89407 2.14 2
P0 89408 1.29 1
P0 89409 2.62 2
P0 89412 1.29 1
P0 89413 2.58 1
P0 89414 2.58 1
P0 89416 2.58 1
P0 89417 0.45 1
P0 89418 2.58 1
P0 89420 2.58 1
P0 89421 0.84 1
P0 89422 1.74 1
P0 89423 0.42 1
P0 89496 1.29 1
P0 89505 0.88 1
P0 89506 0.42 1
P0 89535 1.74 1
P0 89536 2.58 1
P0 89542 2.58 1
P0 89543 0.42 1
P0 89546 0.84 1
P0 89568 2.17 2
P0 89569 2.58 1
P0 89571 1.29 1
P0 89572 0.84 1
P0 89573 1.74 1
P0 89574 2.58 1
P0 89575 0.84 1
P0 89576 0.84 1
P0 89578 1.74 1
P0 89579 1.72 2
P0 89580 2.13 2
P0 89581 0.84 1
P0 89582 2.58 1
P0 89583 0.84 1
P0 89584 0.42 1
P0 89585 0.42 1
P0 89586 2.58 1
P0 89589 2.58 1
P0 89590 3.46 2
P0 89591 3.46 2
P0 89592 3.46 2
P0 89593 1.29 1
P0 89595 1.29 1
P0 89596 0.84 1
P0 89601 1.29 1
P0 89602 1.29 1
P0 89605 1.74 1
P0 89606 1.74 1
P0 89608 1.72 2
P0 89609 2.14 2
P0 89610 0.45 1
P0 89611 2.58 1
P0 89613 0.84 1
P0 89614 0.45 1
P0 89615 0.84 1
P0 89616 1.74 1
P0 89618 3.46 2
P0 89619 3.88 1
P0 89620 1.29 1
P0 89621 1.33 2
P0 89623 2.17 2
P0 89624 0.84 1
P0 89627 2.58 1
P0 89628 2.58 1
P0 89629 1.74 1
P0 89630 3.46 2
P0 89631 2.58 1
P0 89632 0.88 1
P0 89633 1.74 1
P0 89634 1.29 1
P0 89637 0.84 1
P0 89638 0.84 1
P0 89639 0.87 2
P0 89760 1.29 1
P0 89796 0.84 1
P0 89797 2.13 2
P0 89803 1.30 1
P0 89810 2.58 1
P0 89814 1.29 1
P0 89816 1.75 2
P0 89821 2.58 1
P0 89826 1.29 1
P0 89827 2.58 1
P0 89832 0.45 1
P0 89836 1.30 1
P0 89838 1.74 1
P0 89839 0.84 1
P0 89840 2.58 1
P0 89841 1.71 2
P0 89842 1.74 1
P0 89844 0.84 1
P0 89845 0.88 1
P0 89846 2.13 2
P0 89848 0.84 1
P0 89852 2.58 1
P0 91229 1.74 1
P0 91264 2.58 1
P0 91270 1.74 1
P0 91271 2.58 1
P0 91276 0.84 1
P0 91301 0.45 1
P0 91306 2.58 1
P0 91307 1.29 1
P0 91312 0.84 1
P0 91337 0.84 1
P0 91343 0.84 1
P0 91798 0.61 1
P0 91821 1.29 1
P0 91877 1.29 1
P0 91981 0.88 1
P0 91984 0.61 1
P0 91992 1.29 1
P0 92001 0.45 1
P0 92003 0.61 1
P0 92013 2.58 1
P0 92027 0.88 1
P0 92149 0.45 1
P0 92166 0.61 1
P0 92202 0.61 1
P0 92230 1.29 1
P0 92347 1.29 1
P0 92408 0.45 1
P0 92415 0.84 1
P0 92426 1.29 1
P0 92445 1.29 1
P0 92447 2.58 1
P0 92596 0.84 1
P0 92634 1.29 1
P0 92638 1.90 1
P0 92646 0.42 1
P0 92767 0.88 1
P0 92780 1.30 1
P0 92787 2.58 1
P0 92799 2.58 1
P0 92805 0.84 1
P0 92822 2.58 1
P0 92823 1.74 1
P0 92825 2.58 1
P0 92829 1.74 1
P0 92836 1.29 1
P0 92840 1.72 2
P0 92841 0.88 1
P0 92853 1.29 1
P0 92855 2.58 1
P0 92864 0.42 1
P0 92873 0.84 1
P0 92878 3.00 1
P0 92879 0.84 1
P0 93027 2.13 2
P0 93028 2.58 1
P0 93029 1.71 1
P0 93038 1.74 1
P0 93040 0.84 1
P0 93043 1.74 1
P0 93062 1.29 1
P0 93065 1.29 1
P0 93070 1.29 1
P0 93071 2.58 1
P0 93073 0.45 1
P0 93075 2.58 1
P0 93076 2.58 1
P0 93078 2.58 1
P0 93079 1.74 1
P0 93082 0.84 1
P0 93087 2.58 1
P0 93088 2.14 2
P0 93089 2.58 1
P0 93093 2.58 1
P0 93194 1.29 1
P0 93220 1.29 1
P0 93226 0.84 1
P0 93232 2.58 1
P0 93233 1.29 1
P0 93241 0.84 1
P0 93255 0.84 1
P0 93257 2.58 1
P0 93269 2.58 1
P0 93276 2.58 1
P0 93277 0.84 1
P0 93278 2.58 1
P0 93279 2.62 2
P0 93280 2.58 1
P0 93282 0.42 1
P0 93284 3.00 1
P0 93285 0.84 1
P0 93286 2.58 1
P0 93290 0.84 1
P0 93293 1.74 1
P0 93294 0.84 1
P0 93295 0.84 1
P0 93298 2.58 1
P0 93300 2.58 1
P0 93303 2.58 1
P0 93307 1.29 1
P0 93308 0.87 2
P0 93320 1.29 1
P0 93342 1.29 1
P0 93354 2.58 1
P0 93362 2.58 1
P0 93410 1.29 1
P0 93418 2.58 1
P0 93447 2.58 1
P0 93448 1.29 1
P0 93463 1.29 1
P0 93471 1.29 1
P0 93489 0.87 2
P0 93493 1.29 1
P0 93494 0.84 1
P0 93495 2.58 1
P0 93497 2.58 1
P0 93498 2.62 2
P0 93502 1.29 1
P0 93503 1.29 1
P0 93506 1.74 1
P0 93509 2.58 1
P0 93514 0.84 1
P0 93516 2.58 1
P0 93523 2.58 1
P0 93526 2.58 1
P0 93527 0.84 1
P0 93672 1.29 1
P0 93678 2.58 1
P0 93696 1.29 1
P0 93709 1.74 1
P0 93711 2.58 1
P0 93715 2.58 1
P0 93733 2.58 1
P0 95681 1.29 1
P0 95686 1.29 1
P0 95687 4.03 2
P0 95831 1.29 1
P0 95860 1.74 1
P0 95865 0.84 1
P0 95881 1.29 1
P0 95891 3.26 3
P0 95900 1.29 1
P0 95919 0.45 1
P0 95952 0.88 1
P0 96024 1.29 1
P0 96036 1.29 1
P0 96088 0.45 1
P0 96094 0.84 1
P0 96102 0.45 1
P0 96106 2.58 1
P0 96115 1.90 1
P0 96118 2.32 2
P0 96135 1.74 1
P0 96313 0.84 1
P0 96418 1.29 1
P0 96460 0.88 1
P0 96465 1.74 1
P0 96480 0.88 1
P0 96879 0.42 1
P0 96914 2.58 1
P0 96921 1.29 1
P0 96953 2.58 1
P0 96969 1.74 1
P0 97129 0.84 1
P0 97130 2.58 1
P0 97131 2.58 1
P0 97132 1.71 2
P0 97136 1.71 1
P0 97143 1.74 1
P0 97145 2.58 1
P0 97166 0.42 1
P0 97168 0.84 1
P0 97169 1.29 1
P0 97171 2.58 1
P0 97173 0.88 1
P0 97196 1.74 1
P0 97197 2.13 2
P0 97199 3.00 1
P0 97209 0.45 1
P0 97210 1.29 1
P0 97251 1.29 1
P0 97283 2.58 1
P0 97285 2.58 1
P0 97294 1.29 1
P0 97297 2.58 1
P0 97316 1.29 1
P0 97355 1.29 1
P0 97360 1.74 1
P0 97382 2.58 1
P0 97391 2.58 1
P0 97392 2.58 1
P0 97396 0.45 1
P0 97400 1.29 1
P0 97404 2.58 1
P0 97412 0.84 1
P0 97452 1.30 1
P0 97490 2.58 1
P0 97527 0.84 1
P0 97533 2.58 1
P0 97536 1.29 1
P0 97563 2.58 1
P0 97567 2.58 1
P0 97572 1.29 1
P0 97575 1.29 1
P0 97587 2.58 1
P0 97600 1.26 2
P0 97605 1.29 1
P0 97608 2.58 1
P0 97610 0.84 1
P0 97615 1.29 1
P0 97622 0.84 1
P0 97624 0.42 1
P0 97629 2.58 1
P0 97630 2.58 1
P0 97948 2.58 1
P0 97949 2.58 1
P0 97953 2.13 2
P0 97954 2.58 1
P0 97955 0.84 1
P0 97984 0.84 1
P0 97985 2.58 1
P0 97989 2.58 1
P0 97990 1.26 2
P0 97991 2.58 1
P0 98051 1.74 1
P0 98056 2.58 1
P0 98062 2.58 1
P0 98063 2.58 1
P0 98202 2.58 1
P0 98262 0.84 1
P0 98268 2.58 1
P0 98274 2.59 2
P0 99929 1.29 1
P0 99935 1.90 1
P0 99968 0.45 1
P0 99970 0.84 1
P0 99982 0.84 1
P0 100001 0.84 1
P0 100115 2.13 1
P0 100136 1.29 1
P0 100139 1.29 1
P0 100142 1.29 1
P0 100143 3.23 3
P0 100144 3.88 2
P0 100145 1.90 1
P0 100146 4.48 1
P0 100151 0.68 1
P0 100158 0.84 1
P0 100161 1.29 1
P0 100163 1.29 1
P0 100164 2.58 1
P0 100167 3.87 1
P0 100168 0.68 1
P0 100170 1.74 2
P0 100172 1.29 1
P0 100173 1.29 1
P0 100175 3.00 2
P0 100178 2.17 2
P0 100179 2.58 1
P0 100180 2.58 1
P0 100181 1.90 1
P0 100183 1.29 1
P0 100184 4.48 1
P0 100185 2.39 3
P0 100187 0.68 1
P0 100189 1.29 1
P0 100190 0.84 1
P0 100192 1.29 1
P0 100196 1.29 1
P0 100197 0.45 1
P0 100198 1.45 2
P0 100199 2.13 1
P0 100201 1.29 1
P0 100204 2.58 1
P0 100209 1.29 1
P0 100211 2.58 1
P0 100213 3.87 1
P0 100215 0.61 1
P0 100219 0.88 1
P0 100274 1.29 1
P0 100338 0.45 1
P0 100339 1.29 1
P0 100346 1.29 1
P0 100351 1.29 1
P0 100356 1.29 1
P0 100358 1.90 1
P0 100360 0.45 1
P0 100362 0.84 1
P0 100363 1.29 1
P0 100366 1.29 1
P0 100370 1.29 1
P0 100372 0.45 1
P0 100375 1.29 1
P0 100376 2.58 1
P0 100384 1.90 1
P0 100386 2.58 1
P0 100387 1.29 1
P0 100388 0.68 1
P0 100389 1.29 1
P0 100390 0.68 1
P0 100391 2.74 1
P0 100392 3.42 1
P0 100394 0.68 1
P0 100395 1.29 1
P0 100396 1.29 1
P0 100397 2.58 1
P0 100398 2.58 1
P0 100399 3.26 2
P0 100400 0.68 1
P0 100401 1.90 2
P0 100402 1.90 1
P0 100403 0.68 1
P0 100409 1.29 1
P0 100411 1.90 1
P0 100412 4.48 1
P0 100416 4.48 1
P0 100417 1.29 1
P0 100419 4.55 2
P0 100423 1.97 2
P0 100424 1.29 1
P0 100425 1.90 1
P0 100426 3.87 1
P0 100427 2.58 1
P0 100428 1.74 1
P0 100430 1.90 1
P0 100436 1.90 1
P0 100437 2.58 1
P0 100438 0.68 1
P0 100439 1.90 1
P0 100568 1.29 1
P0 100569 1.29 1
P0 100580 1.29 1
P0 100590 1.74 1
P0 100596 1.29 1
P0 100598 1.29 1
P0 100602 1.90 1
P0 100608 1.74 1
P0 100610 5.16 1
P0 100612 1.90 1
P0 100615 1.29 1
P0 100616 4.97 2
P0 100617 2.13 2
P0 100620 0.45 1
P0 100630 1.97 2
P0 100632 1.29 1
P0 100633 2.58 1
P0 100638 2.13 1
P0 100642 0.45 1
P0 100643 0.61 1
P0 100645 2.74 1
P0 100651 1.45 2
P0 100655 2.58 1
P0 100735 1.29 1
P0 100830 1.29 1
P0 100831 1.29 1
P0 100867 1.90 1
P0 101065 0.42 1
P0 101920 2.58 1
P0 102134 0.84 1
P0 102148 0.84 1
P0 102382 2.58 1
P0 102459 3.46 2
P0 102460 2.58 1
P0 102461 2.58 1
P0 102495 2.58 1
P0 102496 0.88 1
P0 102497 2.58 1
P0 102580 0.84 1
P0 102582 1.29 1
P0 102585 0.84 1
P0 102587 1.74 1
P0 102592 0.84 1
P0 102593 1.29 1
P0 102598 1.30 1
P0 102599 1.74 1
P0 104200 1.29 1
P0 104237 0.68 1
P0 104241 2.74 1
P0 104242 1.29 1
P0 104249 0.84 1
P0 104254 1.29 1
P0 104255 0.84 1
P0 104260 0.84 1
P0 104261 2.58 1
P0 104265 2.35 2
P0 104273 1.29 1
P0 104279 0.68 1
P0 104281 1.29 1
P0 104285 0.84 1
P0 104288 1.90 1
P0 104290 1.97 2
P0 104303 2.58 1
P0 104308 0.84 1
P0 104309 1.29 1
P0 104314 2.13 2
P0 104315 1.52 2
P0 104317 2.58 1
P0 104320 1.90 1
P0 104327 2.74 1
P0 104365 0.45 1
P0 104376 1.29 1
P0 104378 1.29 1
P0 104386 1.90 1
P0 104399 1.29 1
P0 104405 2.58 1
P0 104407 1.90 1
P0 104408 1.74 1
P0 104409 1.90 1
P0 104410 2.74 1
P0 104413 0.84 1
P0 104414 1.29 1
P0 104417 1.97 2
P0 104419 2.58 1
P0 104422 0.61 1
P0 104423 2.13 2
P0 104425 2.58 1
P0 104428 0.88 1
P0 104429 1.90 1
P0 104431 1.29 1
P0 104434 0.68 1
P0 104435 3.26 2
P0 104436 0.84 1
P0 104437 2.58 1
P0 104438 1.29 1
P0 104439 1.97 2
P0 104440 5.16 1
P0 104441 1.29 1
P0 104442 1.45 2
P0 104444 0.68 1
P0 104445 2.58 1
P0 104446 3.42 1
P0 104447 0.68 1
P0 104450 2.58 1
P0 104451 0.68 1
P0 104453 0.68 1
P0 104455 4.29 1
P0 104457 0.68 1
P0 104458 0.68 1
P0 104459 3.42 1
P0 104460 2.58 1
P0 104462 1.13 2
P0 104463 1.29 1
P0 104465 0.68 1
P0 104466 0.68 1
P0 104467 1.97 2
P0 104468 1.90 1
P0 104470 0.68 1
P0 104471 0.68 1
P0 104472 4.55 2
P0 104474 1.29 1
P0 104475 0.68 1
P0 104476 1.29 1
P0 104477 1.29 1
P0 104478 0.84 1
P0 104479 2.58 1
