model z clump.grp clump_mass
h148_6144 0.17 609 35726.68
h148_6144 0.17 610 69987.60
h148_6144 0.17 611 6627.63
h148_6144 0.17 612 61342.97
h148_6144 0.17 613 15785.34
h148_6144 0.17 614 29954.82
h148_6144 0.17 615 10651.52
h148_6144 0.17 616 16336.55
h148_6144 0.17 617 33002.45
h148_6144 0.17 618 56334.46
h148_6144 0.17 619 40368.60
h148_6144 0.17 620 63088.58
h148_6144 0.17 621 36355.84
h148_6144 0.17 622 29998.19
h148_6144 0.17 623 76219.18
h148_6144 0.17 624 54483.54
h148_6144 0.17 625 46955.97
h148_6144 0.17 626 66929.50
h148_6144 0.17 627 49575.80
h148_6144 0.17 628 42466.17
h148_6144 0.17 629 25183.61
h148_6144 0.17 630 17767.20
h148_6144 0.17 631 55008.14
h148_6144 0.17 632 19211.91
h148_6144 0.17 633 65971.38
h148_6144 0.17 634 87747.14
h148_6144 0.17 635 78671.99
h148_6144 0.17 636 45092.26
h148_6144 0.17 637 69943.75
h148_6144 0.17 638 24463.52
h148_6144 0.17 639 12577.90
h148_6144 0.17 640 70057.99
h148_6144 0.17 641 113969.14
h148_6144 0.17 642 71515.17
h148_6144 0.17 643 69863.76
h148_6144 0.17 644 27408.64
h148_6144 0.17 645 61647.11
h148_6144 0.17 646 67570.53
h148_6144 0.17 647 54490.28
h148_6144 0.17 648 80514.09
h148_6144 0.17 649 26511.53
h148_6144 0.17 650 17161.45
h148_6144 0.17 651 35782.46
h148_6144 0.17 652 43934.31
h148_6144 0.17 653 65427.25
h148_6144 0.17 654 23892.86
h148_6144 0.17 655 36160.79
h148_6144 0.17 656 24624.68
h148_6144 0.17 657 20695.18
h148_6144 0.17 658 53640.25
h148_6144 0.17 659 35732.76
h148_6144 0.17 660 61845.62
h148_6144 0.17 661 59739.48
h148_6144 0.17 662 22001.44
h148_6144 0.17 663 264308.25
h148_6144 0.17 664 70036.78
h148_6144 0.17 665 142459.99
h148_6144 0.17 666 45971.53
h148_6144 0.17 667 224103.10
h148_6144 0.17 668 59628.00
h148_6144 0.17 669 296189.22
h148_6144 0.17 670 336782.34
h148_6144 0.17 671 123387.83
h148_6144 0.17 672 49022.88
h148_6144 0.17 673 41516.52
h148_6144 0.17 674 320093.52
h148_6144 0.17 675 584083.01
h148_6144 0.17 676 457382.37
h148_6144 0.17 677 56726.09
h148_6144 0.17 678 58027.93
h148_6144 0.17 679 48792.03
h148_6144 0.17 680 71931.47
h148_6144 0.17 681 738103.38
h148_6144 0.17 682 170463.25
h148_6144 0.17 683 45207.11
h148_6144 0.17 684 64540.02
h148_6144 0.17 685 62388.70
h148_6144 0.17 686 25067.70
h148_6144 0.17 687 343992.71
